"original_path","suggested_basename","suggested_name_zh","description","confidence","notes"
"trash_01/trash_01_10.png","ground_debris_dark_strip_03.png","深色条状碎片 03","细长深色条状碎片","medium",""
"trash_01/trash_01_11.png","ground_dead_bird_spread_01.png","展开死鸟 01","翅膀展开趴地的死鸟","high",""
"trash_01/trash_01_12.png","ground_debris_gray_clump_01.png","灰色碎片小堆 01","灰色小型碎片或石块堆","medium",""
"trash_01/trash_01_16.png","ground_trash_mixed_pile_md_01.png","中型混合垃圾堆 01","纸盒 瓶罐 棕色碎片混合的中型垃圾堆","medium",""
"trash_01/trash_01_17.png","ground_trash_mixed_pile_md_02.png","中型混合垃圾堆 02","带粉紫色包装物的中型垃圾堆","medium",""
"trash_01/trash_01_18.png","ground_trash_mixed_pile_md_03.png","中型混合垃圾堆 03","绿色与棕色混合的地面垃圾堆","medium",""
"trash_01/trash_01_19.png","ground_trash_mixed_pile_lg_01.png","大型混合垃圾堆 01","蓝色容器 红色罐头 纸板箱混合的垃圾堆","medium",""
"trash_01/trash_01_20.png","ground_trash_mixed_pile_lg_02.png","大型混合垃圾堆 02","绿色瓶子 纸箱和布料杂物混合","medium",""
"trash_01/trash_01_21.png","ground_trash_mixed_pile_lg_03.png","大型混合垃圾堆 03","多色杂物堆积的较大垃圾堆","medium",""
"trash_01/trash_01_22.png","ground_trash_mixed_pile_lg_04.png","大型混合垃圾堆 04","多种颜色瓶罐和袋子堆叠形成的高垃圾堆","medium",""
"trash_01/trash_01_23.png","ground_trash_mixed_pile_lg_05.png","大型混合垃圾堆 05","纸箱 瓶子和多种废弃物混合","medium",""
"trash_01/trash_01_24.png","ground_papers_scattered_01.png","散落纸张 01","两张浅蓝灰色纸张或报纸","high",""
"trash_01/trash_01_25.png","ground_papers_scattered_02.png","散落纸张 02","浅蓝灰色纸张或布料折叠散落","medium",""
"trash_01/trash_01_26.png","ground_papers_scattered_03.png","散落纸张 03","浅蓝色和棕色纸张或信封叠放","medium",""
"trash_01/trash_01_27.png","ground_papers_scattered_04.png","散落纸张 04","白色或浅色布料纸张散落","medium",""
"trash_01/trash_01_28.png","ground_papers_scattered_05.png","散落纸张 05","棕色和蓝色纸袋或信封散落","medium",""
"trash_01/trash_01_29.png","ground_papers_scattered_06.png","散落纸张 06","灰色和棕色纸张报纸堆叠","medium",""
"trash_01/trash_01_30.png","ground_papers_scattered_07.png","散落纸张 07","小型白色纸片和灰色碎片","medium",""
"trash_01/trash_01_31.png","ground_fabric_paper_scraps_01.png","布纸碎片 01","粉紫色布片搭配灰色纸片垃圾","medium",""
"trash_01/trash_01_32.png","ground_papers_stacked_01.png","纸板报纸堆 01","大型灰棕色报纸和纸板堆","medium",""
"trash_01/trash_01_33.png","ground_trash_food_and_paper_01.png","食物纸张垃圾 01","粉色残渣和灰色纸张混合","low","食物残渣判断偏主观"
"trash_01/trash_01_34.png","ground_trash_mixed_strip_01.png","横向混合垃圾带 01","散落的多色小垃圾条带","medium",""
"trash_01/trash_01_35.png","ground_trash_mixed_strip_02.png","横向混合垃圾带 02","绿色和红色废弃物混合的横向垃圾带","medium",""
"trash_01/trash_01_36.png","ground_trash_mixed_strip_03.png","横向混合垃圾带 03","绿色为主的中型横向垃圾堆","medium",""
"trash_01/trash_01_37.png","ground_trash_mixed_strip_04.png","横向混合垃圾带 04","多色废弃物和纸箱横向展开","medium",""
"trash_01/trash_01_38.png","ground_trash_mixed_strip_05.png","横向混合垃圾带 05","中型彩色横向垃圾堆","medium",""
"trash_01/trash_01_39.png","ground_trash_mixed_strip_06.png","横向混合垃圾带 06","较长的横向散布垃圾带","medium",""
"trash_01/trash_01_40.png","ground_trash_black_bag_pile_01.png","黑色垃圾袋堆 01","黑灰色大型垃圾袋或袋状堆积物","high",""
"trash_01/trash_01_41.png","ground_trash_black_bag_pile_02.png","黑色垃圾袋堆 02","多个鼓起的黑色大型垃圾袋","high",""
"trash_01/trash_01_42.png","ground_trash_dump_pile_01.png","倾倒垃圾堆 01","大型绿色棕色混合垃圾堆","medium",""
"trash_01/trash_01_43.png","ground_trash_dump_pile_02.png","倾倒垃圾堆 02","带蓝色桶和纸箱的大型混合垃圾堆","medium",""
"trash_01/trash_01_44.png","ground_trash_dump_pile_03.png","倾倒垃圾堆 03","棕色绿色混合的中型垃圾堆","medium",""
"trash_01/trash_01_45.png","ground_trash_shoes_fabric_01.png","鞋子布料垃圾 01","鞋子 布料和棕色杂物散落","medium",""
"trash_01/trash_01_46.png","ground_trash_dump_pile_04.png","倾倒垃圾堆 04","横向面积较大的多色垃圾散布","medium",""
"trash_01/trash_01_47.png","ground_trash_dump_pile_05.png","倾倒垃圾堆 05","瓶罐 纸箱和蓝色容器混合垃圾堆","medium",""
"trash_01/trash_01_48.png","ground_trash_black_bag_pile_03.png","黑色垃圾袋堆 03","多个黑色垃圾袋堆叠","high",""
"trash_01/trash_01_49.png","ground_trash_dump_pile_06.png","倾倒垃圾堆 06","绿色灰色混合垃圾堆","medium",""
"trash_01/trash_01_50.png","ground_trash_dump_pile_07.png","倾倒垃圾堆 07","灰绿色布料和纸板混合的大型垃圾堆","medium",""
"trash_01/trash_01_51.png","ground_trash_dump_pile_08.png","倾倒垃圾堆 08","绿色瓶子和灰色杂物构成的大型垃圾堆","medium",""
"trash_01/trash_01_52.png","ground_trash_dump_pile_09.png","倾倒垃圾堆 09","棕色灰色混合的大型杂物堆","medium",""
"trash_01/trash_01_53.png","ground_trash_dump_pile_10.png","倾倒垃圾堆 10","纸箱 深色袋子和多种杂物构成的大型垃圾堆","medium",""
